,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Croissant,$2.47,,$970.71,,$51.87,,,$64.22,,,$4.94,,,$56.81,,,$9.88,,,$7.41,,,$24.70,,,$49.40,,,$27.17,,,$22.23,,,$46.93,,,$32.11,,,$22.23,,,$12.35,,,$37.05,,,$101.27,,,$98.80,,,$59.28,,,$32.11,,,$64.22,,,$71.63,,,$29.64,,,$44.46,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
White Chocolate Raspberry Scone,$2.60,,$891.80,,$49.40,,,$75.40,,,$7.80,,,$49.40,,,$5.20,,,$7.80,,,$88.40,,,$15.60,,,$31.20,,,$59.80,,,$28.60,,,$33.80,,,$26.00,,,$20.80,,,$44.20,,,$44.20,,,$59.80,,,$39.00,,,$39.00,,,$28.60,,,$49.40,,,$67.60,,,$20.80,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
2 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
Acai Bowl,$2.88,,"$4,674.24",,$264.96,,,$207.36,,,$126.72,,,$224.64,,,$158.40,,,$63.36,,,$175.68,,,$357.12,,,$146.88,,,$313.92,,,$195.84,,,$288.00,,,$141.12,,,$141.12,,,$184.32,,,$316.80,,,$256.32,,,$172.80,,,$259.20,,,$273.60,,,$264.96,,,$132.48,,,$8.64,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,
Bagel Bites Everything,$2.15,,$526.75,,$64.50,,,$8.60,,,$15.05,,,$111.80,,,$34.40,,,$0.00,,,$4.30,,,$6.45,,,$32.25,,,$45.15,,,$4.30,,,$19.35,,,$27.95,,,$4.30,,,$19.35,,,$19.35,,,$27.95,,,$17.20,,,$4.30,,,$10.75,,,$10.75,,,$38.70,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Bagel Bites Plain,$1.70,,$365.50,,$35.70,,,$11.90,,,$8.50,,,$45.90,,,$25.50,,,$0.00,,,$17.00,,,$0.00,,,$22.10,,,$1.70,,,$18.70,,,$0.00,,,$28.90,,,$0.00,,,$18.70,,,$20.40,,,$8.50,,,$42.50,,,$1.70,,,$20.40,,,$8.50,,,$27.20,,,$1.70,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Baja Croissant Sandwich,$2.57,,"$1,038.28",,$64.25,,,$71.96,,,$30.84,,,$5.14,,,$25.70,,,$12.85,,,$51.40,,,$77.10,,,$25.70,,,$110.51,,,$53.97,,,$46.26,,,$7.71,,,$15.42,,,$53.97,,,$35.98,,,$43.69,,,$28.27,,,$20.56,,,$105.37,,,$35.98,,,$46.26,,,$69.39,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Banana Bread,$1.10,,$415.80,,$29.70,,,$44.00,,,$9.90,,,$6.60,,,$26.40,,,$7.70,,,$19.80,,,$18.70,,,$15.40,,,$22.00,,,$35.20,,,$25.30,,,$13.20,,,$2.20,,,$19.80,,,$16.50,,,$8.80,,,$9.90,,,$13.20,,,$9.90,,,$22.00,,,$16.50,,,$23.10,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Breakfast Burrito,$2.19,,"$1,217.64",,$63.51,,,$59.13,,,$45.99,,,$17.52,,,$2.19,,,$13.14,,,$48.18,,,$120.45,,,$72.27,,,$32.85,,,$37.23,,,$0.00,,,$98.55,,,$41.61,,,$30.66,,,$131.40,,,$8.76,,,$98.55,,,$17.52,,,$65.70,,,$2.19,,,$142.35,,,$67.89,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Breakfast Crossiant sandwich,$2.35,,"$1,402.95",,$37.60,,,$84.60,,,$51.70,,,$7.05,,,$51.70,,,$9.40,,,$65.80,,,$47.00,,,$0.00,,,$56.40,,,$56.40,,,$79.90,,,$2.35,,,$54.05,,,$18.80,,,$129.25,,,$56.40,,,$61.10,,,$138.65,,,$108.10,,,$77.55,,,$98.70,,,$110.45,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Chocolate Chip Cookie (Salted),$2.18,,$837.12,,$71.94,,,$23.98,,,$2.18,,,$10.90,,,$4.36,,,$23.98,,,$34.88,,,$82.84,,,$30.52,,,$15.26,,,$26.16,,,$54.50,,,$56.68,,,$4.36,,,$52.32,,,$93.74,,,$69.76,,,$32.70,,,$23.98,,,$34.88,,,$13.08,,,$32.70,,,$41.42,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Coffee Cake (classic/apple),$1.99,,$557.20,,$51.74,,,$29.85,,,$11.94,,,$37.81,,,$25.87,,,$19.90,,,$29.85,,,$37.81,,,$41.79,,,$31.84,,,$29.85,,,$15.92,,,$25.87,,,$5.97,,,$5.97,,,$39.80,,,$19.90,,,$25.87,,,$23.88,,,$9.95,,,$5.97,,,$23.88,,,$5.97,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Egg Bites,$2.07,,$629.28,,$43.47,,,$0.00,,,$20.70,,,$4.14,,,$12.42,,,$8.28,,,$45.54,,,$53.82,,,$18.63,,,$10.35,,,$0.00,,,$12.42,,,$78.66,,,$39.33,,,$20.70,,,$68.31,,,$31.05,,,$53.82,,,$35.19,,,$37.26,,,$4.14,,,$18.63,,,$12.42,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Grilled Cheese Sandwich,$2.84,,$900.28,,$51.12,,,$31.24,,,$25.56,,,$5.68,,,$42.60,,,$14.20,,,$88.04,,,$68.16,,,$34.08,,,$0.00,,,$31.24,,,$62.48,,,$5.68,,,$51.12,,,$51.12,,,$124.96,,,$28.40,,,$53.96,,,$36.92,,,$39.76,,,$5.68,,,$34.08,,,$14.20,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Lemon Loaf (seasonal),$1.97,,"$1,038.19",,$147.75,,,$43.34,,,$15.76,,,$33.49,,,$1.97,,,$25.61,,,$33.49,,,$120.17,,,$5.91,,,$70.92,,,$27.58,,,$88.65,,,$11.82,,,$11.82,,,$47.28,,,$0.00,,,$70.92,,,$63.04,,,$43.34,,,$37.43,,,$65.01,,,$57.13,,,$15.76,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Monster Cookie,$1.53,,$582.93,,$61.20,,,$50.49,,,$9.18,,,$4.59,,,$4.59,,,$0.00,,,$16.83,,,$27.54,,,$47.43,,,$55.08,,,$16.83,,,$30.60,,,$26.01,,,$9.18,,,$13.77,,,$7.65,,,$39.78,,,$26.01,,,$22.95,,,$18.36,,,$44.37,,,$21.42,,,$29.07,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Pumpkin Cream Cheese loaf (seasonal),$1.63,,$0.00,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Santa Fe Veggie Burrito ,$2.96,,"$1,252.08",,$59.20,,,$29.60,,,$5.92,,,$97.68,,,$2.96,,,$20.72,,,$44.40,,,$109.52,,,$5.92,,,$0.00,,,$88.80,,,$79.92,,,$0.00,,,$53.28,,,$56.24,,,$145.04,,,$82.88,,,$62.16,,,$23.68,,,$106.56,,,$35.52,,,$44.40,,,$97.68,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Sausage & Cheddar Breakfast Sandwich (GF),$1.66,,"$1,371.16",,$111.22,,,$49.80,,,$31.54,,,$14.94,,,$54.78,,,$4.98,,,$111.22,,,$117.86,,,$14.94,,,$1.66,,,$59.76,,,$74.70,,,$74.70,,,$29.88,,,$34.86,,,$107.90,,,$112.88,,,$129.48,,,$29.88,,,$56.44,,,$18.26,,,$96.28,,,$33.20,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Twist (jalapeno/pizza),$1.59,,$372.06,,$25.44,,,$6.36,,,$6.36,,,$15.90,,,$4.77,,,$9.54,,,$7.95,,,$17.49,,,$15.90,,,$15.90,,,$25.44,,,$31.80,,,$41.34,,,$4.77,,,$33.39,,,$3.18,,,$15.90,,,$23.85,,,$19.08,,,$1.59,,,$27.03,,,$17.49,,,$1.59,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Yogurt Parfait with Granola,$4.36,,$313.92,,$0.00,,,$8.72,,,$0.00,,,$4.36,,,$0.00,,,$13.08,,,$0.00,,,$21.80,,,$0.00,,,$213.64,,,$0.00,,,$4.36,,,$0.00,,,$4.36,,,$4.36,,,$0.00,,,$0.00,,,$4.36,,,$26.16,,,$4.36,,,$0.00,,,$4.36,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Smoothie pack,$3.55,,$536.05,,$67.45,,,$3.55,,,$3.55,,,$3.55,,,$10.65,,,$28.40,,,$28.40,,,$14.20,,,$7.10,,,$0.00,,,$49.70,,,$42.60,,,$10.65,,,$3.55,,,$24.85,,,$67.45,,,$24.85,,,$56.80,,,$35.50,,,$21.30,,,$21.30,,,$3.55,,,$7.10,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Hard Boiled Egg,$0.52,,$18.72,,$0.00,,,$3.12,,,$0.00,,,$1.04,,,$0.00,,,$4.68,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$4.68,,,$0.00,,,$1.04,,,$2.08,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$2.08,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Oatmeal (1 month expiration),$0.62,,$32.86,,$0.00,,,$0.00,,,$0.00,,,$6.20,,,$0.00,,,$0.00,,,$0.62,,,$0.00,,,$0.00,,,$0.00,,,$0.62,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$21.70,,,$0.00,,,$1.24,,,$1.24,,,$0.00,,,$0.00,,,$1.24,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Retail Whole bean coffee,$7.38,,$36.90,,$0.00,,,$36.90,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
