,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagel Bites Everything,245,2766,8.14%,,30,102,22.73%,4,108,3.57%,7,64,9.86%,52,106,32.91%,16,119,11.85%,0,28,0.00%,2,147,1.34%,3,177,1.67%,15,100,13.04%,21,193,9.81%,2,147,1.34%,9,120,6.98%,13,70,15.66%,2,99,1.98%,9,57,13.64%,9,345,2.54%,13,152,7.88%,8,182,4.21%,2,60,3.23%,5,138,3.50%,5,47,9.62%,18,77,18.95%,0,128,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagel Bites Plain,215,3396,5.95%,,21,225,8.54%,7,175,3.85%,5,89,5.32%,27,181,12.98%,15,92,14.02%,0,27,0.00%,10,183,5.18%,0,169,0.00%,13,123,9.56%,1,301,0.33%,11,142,7.19%,0,173,0.00%,17,102,14.29%,0,100,0.00%,11,53,17.19%,12,374,3.11%,5,174,2.79%,25,192,11.52%,1,80,1.23%,12,128,8.57%,5,45,10.00%,16,129,11.03%,1,139,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja Croissant Sandwich,404,4506,8.23%,,25,199,11.16%,28,185,13.15%,12,170,6.59%,2,163,1.21%,10,107,8.55%,5,27,15.63%,20,228,8.06%,30,313,8.75%,10,187,5.08%,43,379,10.19%,21,117,15.22%,18,275,6.14%,3,136,2.16%,6,72,7.69%,21,51,29.17%,14,397,3.41%,17,207,7.59%,11,286,3.70%,8,213,3.62%,41,308,11.75%,14,123,10.22%,18,140,11.39%,27,223,10.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Bread,378,5574,6.35%,,27,270,9.09%,40,219,15.44%,9,152,5.59%,6,157,3.68%,24,183,11.59%,7,41,14.58%,18,344,4.97%,17,339,4.78%,14,193,6.76%,20,430,4.44%,32,189,14.48%,23,226,9.24%,12,161,6.94%,2,139,1.42%,18,134,11.84%,15,693,2.12%,8,287,2.71%,9,424,2.08%,12,164,6.82%,9,267,3.26%,20,147,11.98%,15,158,8.67%,21,257,7.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast Burrito,556,7662,6.77%,,29,362,7.42%,27,298,8.31%,21,270,7.22%,8,266,2.92%,1,220,0.45%,6,95,5.94%,22,444,4.72%,55,410,11.83%,33,283,10.44%,15,668,2.20%,17,377,4.31%,0,419,0.00%,45,228,16.48%,19,190,9.09%,14,166,7.78%,60,744,7.46%,4,454,0.87%,45,491,8.40%,8,182,4.21%,30,384,7.25%,1,134,0.74%,65,276,19.06%,31,301,9.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast Crossiant sandwich,597,9972,5.65%,,16,443,3.49%,36,353,9.25%,22,287,7.12%,3,390,0.76%,22,254,7.97%,4,107,3.60%,28,508,5.22%,20,622,3.12%,0,323,0.00%,24,727,3.20%,24,383,5.90%,34,477,6.65%,1,265,0.38%,23,242,8.68%,8,228,3.39%,55,1153,4.55%,24,468,4.88%,26,751,3.35%,59,336,14.94%,46,693,6.22%,33,286,10.34%,42,305,12.10%,47,371,11.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Chip Cookie (Salted),384,2884,11.75%,,33,112,22.76%,11,139,7.33%,1,68,1.45%,5,100,4.76%,2,175,1.13%,11,44,20.00%,16,151,9.58%,38,195,16.31%,14,84,14.29%,7,199,3.40%,12,135,8.16%,25,125,16.67%,26,92,22.03%,2,115,1.71%,24,76,24.00%,43,258,14.29%,32,123,20.65%,15,147,9.26%,11,77,12.50%,16,207,7.17%,6,75,7.41%,15,80,15.79%,19,107,15.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Cake (classic/apple),280,2074,11.89%,,26,76,25.49%,15,75,16.67%,6,39,13.33%,19,82,18.81%,13,120,9.77%,10,28,26.32%,15,97,13.39%,19,124,13.29%,21,55,27.63%,16,88,15.38%,15,81,15.63%,8,107,6.96%,13,54,19.40%,3,78,3.70%,3,87,3.33%,20,240,7.69%,10,141,6.62%,13,119,9.85%,12,39,23.53%,5,116,4.13%,3,69,4.17%,12,53,18.46%,3,106,2.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg Bites,304,3502,7.99%,,21,147,12.50%,0,157,0.00%,10,113,8.13%,2,108,1.82%,6,85,6.59%,4,27,12.90%,22,212,9.40%,26,223,10.44%,9,85,9.57%,5,268,1.83%,0,185,0.00%,6,201,2.90%,38,93,29.01%,19,58,24.68%,10,75,11.76%,33,402,7.59%,15,207,6.76%,26,266,8.90%,17,74,18.68%,18,195,8.45%,2,66,2.94%,9,120,6.98%,6,135,4.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Cheese Sandwich,317,1864,14.53%,,18,66,21.43%,11,53,17.19%,9,13,40.91%,2,81,2.41%,15,108,12.20%,5,40,11.11%,31,65,32.29%,24,132,15.38%,12,49,19.67%,0,119,0.00%,11,61,15.28%,22,82,21.15%,2,45,4.26%,18,109,14.17%,18,72,20.00%,44,304,12.64%,10,73,12.05%,19,113,14.39%,13,35,27.08%,14,104,11.86%,2,44,4.35%,12,39,23.53%,5,57,8.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
