,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja Croissant Sandwich,526,7121,6.88%,,4,293,1.35%,17,288,5.57%,21,256,7.58%,3,290,1.02%,19,138,12.10%,5,57,8.06%,40,395,9.20%,19,445,4.09%,29,325,8.19%,61,532,10.29%,32,225,12.45%,41,404,9.21%,15,216,6.49%,5,116,4.13%,17,121,12.32%,24,637,3.63%,31,323,8.76%,45,407,9.96%,29,334,7.99%,15,489,2.98%,12,226,5.04%,42,244,14.69%,0,360,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Bread,438,9283,4.51%,,36,439,7.58%,43,378,10.21%,13,253,4.89%,9,248,3.50%,8,252,3.08%,16,64,20.00%,28,547,4.87%,45,574,7.27%,23,322,6.67%,22,700,3.05%,19,427,4.26%,35,366,8.73%,7,288,2.37%,5,253,1.94%,0,257,0.00%,22,1151,1.88%,7,454,1.52%,15,665,2.21%,15,275,5.17%,23,445,4.91%,1,230,0.43%,30,294,9.26%,16,401,3.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast Burrito,571,13160,4.16%,,5,656,0.76%,41,502,7.55%,16,502,3.09%,1,530,0.19%,6,318,1.85%,20,146,12.05%,54,761,6.63%,18,699,2.51%,6,562,1.06%,33,1052,3.04%,21,627,3.24%,0,649,0.00%,22,424,4.93%,39,307,11.27%,12,230,4.96%,110,1471,6.96%,38,602,5.94%,103,833,11.00%,20,363,5.22%,3,659,0.45%,0,186,0.00%,1,574,0.17%,2,507,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast Crossiant sandwich,969,15962,5.72%,,5,694,0.72%,21,571,3.55%,29,451,6.04%,25,603,3.98%,39,409,8.71%,13,188,6.47%,84,766,9.88%,40,1075,3.59%,31,533,5.50%,42,1182,3.43%,89,643,12.16%,1,774,0.13%,38,448,7.82%,39,397,8.94%,17,350,4.63%,130,1693,7.13%,69,721,8.73%,74,1171,5.94%,29,698,3.99%,37,1069,3.35%,26,445,5.52%,67,526,11.30%,24,555,4.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Chip Cookie (Salted),423,4809,8.08%,,34,195,14.85%,14,239,5.53%,10,103,8.85%,5,159,3.05%,17,224,7.05%,21,86,19.63%,26,228,10.24%,58,299,16.25%,7,152,4.40%,34,309,9.91%,2,221,0.90%,6,192,3.03%,35,171,16.99%,5,177,2.75%,2,131,1.50%,43,446,8.79%,8,230,3.36%,9,273,3.19%,20,153,11.56%,10,331,2.93%,8,122,6.15%,47,167,21.96%,2,201,0.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Cake (classic/apple),393,3582,9.89%,,24,122,16.44%,15,109,12.10%,9,57,13.64%,28,116,19.44%,12,160,6.98%,9,62,12.68%,11,144,7.10%,37,255,12.67%,16,102,13.56%,8,191,4.02%,7,158,4.24%,17,148,10.30%,27,120,18.37%,16,154,9.41%,1,127,0.78%,32,371,7.94%,2,236,0.84%,24,243,8.99%,11,91,10.78%,20,210,8.70%,7,112,5.88%,35,110,24.14%,25,184,11.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg Bites,481,5542,7.99%,,10,258,3.73%,14,227,5.81%,8,194,3.96%,3,188,1.57%,10,144,6.49%,7,36,16.28%,23,316,6.78%,45,310,12.68%,21,208,9.17%,15,419,3.46%,47,287,14.07%,27,317,7.85%,52,184,22.03%,31,97,24.22%,9,103,8.04%,43,600,6.69%,35,280,11.11%,30,394,7.08%,22,152,12.64%,8,311,2.51%,4,84,4.55%,9,233,3.72%,8,200,3.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Cheese Sandwich,280,3552,7.31%,,8,135,5.59%,7,106,6.19%,6,41,12.77%,4,146,2.67%,9,188,4.57%,2,68,2.86%,16,184,8.00%,13,270,4.59%,20,109,15.50%,9,198,4.35%,8,107,6.96%,10,150,6.25%,3,85,3.41%,38,195,16.31%,9,140,6.04%,28,589,4.54%,28,128,17.95%,22,181,10.84%,8,98,7.55%,13,176,6.88%,2,63,3.08%,10,95,9.52%,7,100,6.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Loaf (seasonal),4,227,1.73%,,0,7,0.00%,0,12,0.00%,0,6,0.00%,0,8,0.00%,0,5,0.00%,0,4,0.00%,0,5,0.00%,0,19,0.00%,0,11,0.00%,0,11,0.00%,0,5,0.00%,0,8,0.00%,0,8,0.00%,0,1,0.00%,0,2,0.00%,0,41,0.00%,0,7,0.00%,0,14,0.00%,0,9,0.00%,0,15,0.00%,3,3,50.00%,1,10,9.09%,0,16,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Cookie,359,7162,4.77%,,7,570,1.21%,13,508,2.50%,14,222,5.93%,14,250,5.30%,15,292,4.89%,4,113,3.42%,25,420,5.62%,32,529,5.70%,28,337,7.67%,17,579,2.85%,4,392,1.01%,29,351,7.63%,17,252,6.32%,8,196,3.92%,9,108,7.69%,43,421,9.27%,5,256,1.92%,3,290,1.02%,18,144,11.11%,10,347,2.80%,11,101,9.82%,32,315,9.22%,1,169,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
