,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagel Bites Everything,$2.15,,$993.30,,$23.65,,,$17.20,,,$34.40,,,$70.95,,,$32.25,,,$34.40,,,$88.15,,,$38.70,,,$25.80,,,$92.45,,,$90.30,,,$36.55,,,$88.15,,,$8.60,,,$4.30,,,$27.95,,,$27.95,,,$75.25,,,$40.85,,,$34.40,,,$17.20,,,$53.75,,,$30.10,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Bagel Bites Plain,$1.70,,$484.50,,$22.10,,,$0.00,,,$30.60,,,$20.40,,,$18.70,,,$25.50,,,$62.90,,,$42.50,,,$1.70,,,$23.80,,,$10.20,,,$13.60,,,$13.60,,,$3.40,,,$8.50,,,$5.10,,,$27.20,,,$22.10,,,$30.60,,,$23.80,,,$1.70,,,$62.90,,,$13.60,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Baja Croissant Sandwich,$2.57,,"$1,351.82",,$10.28,,,$43.69,,,$53.97,,,$7.71,,,$48.83,,,$12.85,,,$102.80,,,$48.83,,,$74.53,,,$156.77,,,$82.24,,,$105.37,,,$38.55,,,$12.85,,,$43.69,,,$61.68,,,$79.67,,,$115.65,,,$74.53,,,$38.55,,,$30.84,,,$107.94,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Banana Bread,$1.10,,$481.80,,$39.60,,,$47.30,,,$14.30,,,$9.90,,,$8.80,,,$17.60,,,$30.80,,,$49.50,,,$25.30,,,$24.20,,,$20.90,,,$38.50,,,$7.70,,,$5.50,,,$0.00,,,$24.20,,,$7.70,,,$16.50,,,$16.50,,,$25.30,,,$1.10,,,$33.00,,,$17.60,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Breakfast Burrito,$2.19,,"$1,250.49",,$10.95,,,$89.79,,,$35.04,,,$2.19,,,$13.14,,,$43.80,,,$118.26,,,$39.42,,,$13.14,,,$72.27,,,$45.99,,,$0.00,,,$48.18,,,$85.41,,,$26.28,,,$240.90,,,$83.22,,,$225.57,,,$43.80,,,$6.57,,,$0.00,,,$2.19,,,$4.38,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Breakfast Crossiant sandwich,$2.35,,"$2,277.15",,$11.75,,,$49.35,,,$68.15,,,$58.75,,,$91.65,,,$30.55,,,$197.40,,,$94.00,,,$72.85,,,$98.70,,,$209.15,,,$2.35,,,$89.30,,,$91.65,,,$39.95,,,$305.50,,,$162.15,,,$173.90,,,$68.15,,,$86.95,,,$61.10,,,$157.45,,,$56.40,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Chocolate Chip Cookie (Salted),$2.18,,$922.14,,$74.12,,,$30.52,,,$21.80,,,$10.90,,,$37.06,,,$45.78,,,$56.68,,,$126.44,,,$15.26,,,$74.12,,,$4.36,,,$13.08,,,$76.30,,,$10.90,,,$4.36,,,$93.74,,,$17.44,,,$19.62,,,$43.60,,,$21.80,,,$17.44,,,$102.46,,,$4.36,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Coffee Cake (classic/apple),$1.99,,$782.07,,$47.76,,,$29.85,,,$17.91,,,$55.72,,,$23.88,,,$17.91,,,$21.89,,,$73.63,,,$31.84,,,$15.92,,,$13.93,,,$33.83,,,$53.73,,,$31.84,,,$1.99,,,$63.68,,,$3.98,,,$47.76,,,$21.89,,,$39.80,,,$13.93,,,$69.65,,,$49.75,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Egg Bites,$2.07,,$995.67,,$20.70,,,$28.98,,,$16.56,,,$6.21,,,$20.70,,,$14.49,,,$47.61,,,$93.15,,,$43.47,,,$31.05,,,$97.29,,,$55.89,,,$107.64,,,$64.17,,,$18.63,,,$89.01,,,$72.45,,,$62.10,,,$45.54,,,$16.56,,,$8.28,,,$18.63,,,$16.56,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Grilled Cheese Sandwich,$2.84,,$795.20,,$22.72,,,$19.88,,,$17.04,,,$11.36,,,$25.56,,,$5.68,,,$45.44,,,$36.92,,,$56.80,,,$25.56,,,$22.72,,,$28.40,,,$8.52,,,$107.92,,,$25.56,,,$79.52,,,$79.52,,,$62.48,,,$22.72,,,$36.92,,,$5.68,,,$28.40,,,$19.88,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Lemon Loaf (seasonal),$1.97,,$7.88,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$5.91,,,$1.97,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Monster Cookie,$1.53,,$549.27,,$10.71,,,$19.89,,,$21.42,,,$21.42,,,$22.95,,,$6.12,,,$38.25,,,$48.96,,,$42.84,,,$26.01,,,$6.12,,,$44.37,,,$26.01,,,$12.24,,,$13.77,,,$65.79,,,$7.65,,,$4.59,,,$27.54,,,$15.30,,,$16.83,,,$48.96,,,$1.53,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Santa Fe Veggie Burrito ,$2.96,,"$1,527.36",,$62.16,,,$0.00,,,$41.44,,,$65.12,,,$26.64,,,$109.52,,,$79.92,,,$82.88,,,$32.56,,,$5.92,,,$62.16,,,$38.48,,,$97.68,,,$127.28,,,$23.68,,,$192.40,,,$41.44,,,$168.72,,,$65.12,,,$127.28,,,$32.56,,,$35.52,,,$8.88,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Sausage & Cheddar Breakfast Sandwich (GF),$1.66,,"$1,113.86",,$18.26,,,$44.82,,,$61.42,,,$16.60,,,$44.82,,,$11.62,,,$53.12,,,$61.42,,,$83.00,,,$28.22,,,$26.56,,,$1.66,,,$21.58,,,$71.38,,,$31.54,,,$174.30,,,$46.48,,,$87.98,,,$26.56,,,$116.20,,,$9.96,,,$44.82,,,$31.54,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Twist (jalapeno/pizza),$1.59,,$659.85,,$19.08,,,$14.31,,,$17.49,,,$41.34,,,$44.52,,,$14.31,,,$17.49,,,$28.62,,,$55.65,,,$22.26,,,$57.24,,,$38.16,,,$33.39,,,$15.90,,,$4.77,,,$31.80,,,$30.21,,,$22.26,,,$25.44,,,$22.26,,,$47.70,,,$36.57,,,$19.08,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Yogurt Parfait with Granola,$4.36,,$252.88,,$0.00,,,$4.36,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$213.64,,,$0.00,,,$0.00,,,$0.00,,,$4.36,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$26.16,,,$0.00,,,$4.36,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Smoothie pack,$3.55,,$727.75,,$99.40,,,$14.20,,,$21.30,,,$14.20,,,$0.00,,,$35.50,,,$28.40,,,$99.40,,,$31.95,,,$0.00,,,$46.15,,,$17.75,,,$14.20,,,$17.75,,,$21.30,,,$124.25,,,$56.80,,,$17.75,,,$10.65,,,$21.30,,,$0.00,,,$24.85,,,$10.65,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Hard Boiled Egg,$0.52,,$4.16,,$0.00,,,$0.00,,,$0.00,,,$0.52,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$2.08,,,$0.00,,,$1.56,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Oatmeal (1 month expiration),$0.62,,$50.84,,$0.00,,,$0.00,,,$0.00,,,$1.86,,,$0.00,,,$0.00,,,$4.96,,,$0.00,,,$4.96,,,$0.62,,,$0.62,,,$0.00,,,$3.10,,,$0.00,,,$0.00,,,$11.78,,,$3.10,,,$0.00,,,$6.20,,,$1.24,,,$5.58,,,$6.82,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Retail Whole bean coffee,$7.38,,$66.42,,$29.52,,,$36.90,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
